"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"4425","ARMCX6",13,"obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser3BaselineVSsevenAll obermoser3BaselineVSthreeAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll rusch",0,"",0,0,0,12,0,1,0,2,0
"4426","UBXN4",17,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",2,"goschNineHrMain goschTwelveHrMain",0,1,4,11,0,1,0,4,1
"4427","COQ10A",9,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschThreeHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL",4,"goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL",0,0,5,4,0,0,0,2,2
"4428","PFKFB3",13,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyOneALL obermoser2BaselineVSzeroAll obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",5,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll",0,0,4,9,0,0,0,2,2
"4429","ZNF528-AS1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4430","NEDD4L",8,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser2BaselineVSzeroAll obermoser4BaselineVSthirtySixAll",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,6,2,0,0,0,2,1
"4431","POP1",2,"goschNineHrMain obermoser3BaselineVSsevenAll",1,"goschNineHrMain",0,0,1,1,0,0,0,2,1
"4432","RP11-1086F11",0,"",0,"",0,0,0,0,0,0,0,0,0
"4433","NRIR",0,"",0,"",0,0,0,0,0,0,0,0,0
"4434","MIB1",10,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSthreeALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll rusch",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,1,5,3,0,1,0,4,1
