"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"455","RP5-1158E12",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"456","PAN2",12,"gomez goschEighteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSthirtySixAll",4,"goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL",1,0,4,7,0,0,0,0,3,2
"457","DAPK3",6,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser4BaselineVStwentyFourAll",2,"goschNineHrMain goschTwelveHrMain",1,0,2,3,0,0,0,0,3,1
"458","TMTC2",4,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain",2,"goschFifteenHrMain goschNineHrMain",1,0,3,0,0,0,0,0,2,1
"459","CTD-3092A11",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"460","FKBP7",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"461","HYOU1",5,"gomez obermoser1BaseVSsevenALL obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSthirtySixAll",1,"obermoser1BaseVSsevenALL",1,0,0,4,0,0,0,0,2,1
"462","CTC-436P18",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"463","CRB3",7,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSthreeALL",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,1,0,0,0,0,3,1
"464","SLC16A11",4,"gomez goschFifteenHrMain goschNineHrMain rusch",1,"goschNineHrMain",1,0,2,0,0,1,0,0,3,1
"465","RP11-1143G9",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"466","FDXR",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
