"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"19866","SLC29A3","5985.64111662096","3886.05015987671","12899.9383203188","6174.84907081997","8281.73054338483","6870.65217475282","5872.1189164814","7998.14130619282",6868.18530195673,11814
"19845","SLC25A51","6579.28787550528","6588.46088755741","6613.2599782289","7856.97725231732","7565.37744004351","7346.8038346436","6286.3991322521","6292.35865559947",6868.26909399098,11815
"16803","RAB40C","4162.89741727986","4900.95086316517","7038.87851806217","7165.04910652769","9128.28606712999","7131.53850752201","6033.23107773625","12254.5631662364",6868.34925293559,11816
"3110","CD86","3875.96062055441","4595.04429770009","5718.80441706472","11789.397439627","7745.10183962488","11285.5155245931","8458.97191434958","5580.05597241518",6868.64898954261,11817
"22975","UCON105.UCON105.Unknown","7455.99999999999","5471","13646","6686","10873","5935","6095","3385",6868.79975987153,11818
"3958","COX16","8070.18743941801","8176.36644067693","9795.94847731178","5372.57876051211","8603.50500399081","4792.41182587709","4662.8077780427","7422.23307734828",6868.87498824491,11819
"22915","UBE3B","4717.83671320244","4241.8544195994","8628.80590547353","7891.23414606757","8211.8896049397","7362.19418054175","6079.53764809036","9894.71062752765",6868.94105294992,11820
"19728","SLC11A2","4187.00348111584","4495.73715735548","7895.72511002976","8207.98415535217","8614.67732248488","8135.33418126852","6783.91392500207","8552.58454446062",6869.74489640906,11821
"3807","CNOT3","9282.27005205041","7753.57327276283","9907.2711997723","4791.67192553057","7324.69288003218","5454.46363891608","5731.95386871056","6341.22928136195",6869.92276241889,11822
"17808","RP11-291B21.2","9055","14599","346","14698","5771","14862","15026","5732",6870.73147086801,11823
"3535","CHMP1A","5291.65614872295","3830.22303899342","8638.4094495221","6279.25728106159","8133.82642542273","6628.40651844575","5591.0858303395","14988.2945281944",6870.90224438869,11824
"1403","ARPC4","4724.5899484969","4975.6187503825","8708.48689815153","6633.3862728763","7036.23713033125","5730.98735496052","5255.01301892086","17266.2718403299",6871.14220829754,11825
"14002","N6AMT2","11576.2472330199","10708.755529939","10398.1552209995","5430.99880316687","10505.9436748918","4691.06331229924","4954.51814004147","2906.67834477776",6871.17398034123,11826
"24029","ZNF252P-AS1","11468.212508917","9102.36735474206","10689.99582364","4239.50588564957","10031.076723396","5041.97004416834","5474.11216091624","3793.74222524382",6871.22269241331,11827
"16066","POU5F1P3","14195.5415536006","14520.6033965535","4870.47923720038","5059.60670408284","6796.40732299059","4758.4392399189","13000.3819943877","2327.38136110093",6871.46098009045,11828
"1987","BOLA1","9475.23870426667","6826.89763805026","14202.8795060605","4775.44993178256","8829.40346067243","4833.50249206418","5035.04100762354","5273.10248434033",6871.60754474053,11829
"19140","SAR1A","3504.81963712295","4418.05352754858","5135.4955886292","7620.78420119967","8844.71532404876","7935.01876775254","7423.13118722302","15746.6680481619",6871.64613976529,11830
"4115","CS","2747.68584040244","2707.29706620409","8750.86028912581","9784.08845791106","7361.26718801682","9442.41146407468","6862.15988236256","16373.8850238637",6872.11269145682,11831
"6038","FAM20B","3446.90562597924","5975.29396640233","3678.82980649496","11212.7835420824","7899.21270742916","10336.256800666","8113.18215629499","8840.11539612169",6872.28256669336,11832
"11005","LOC102723324","13024","14633","2711","6153.00000000001","8059.49999999999","6505","9667.00000000001","3088",6872.30341379082,11833
"7632","HCG14","15222","14153","14346","2673","8059.49999999999","5538","10357","1303",6872.44355497432,11834
"17194","RHEBL1","12624.85208382","9892.01382078441","14161.3619660152","3174.53787862458","9874.5108119402","4360.91502053012","5308.64746743887","3877.33477804165",6872.47816609378,11835
"11022","LOC102723390","13832","15877","987","15879","8059.49999999999","8603.99999999999","13163","1584",6872.48872147167,11836
"17804","RP11-290F24.6","14118","12716","13276","5187","5771","3585","10478","1858",6873.00153378845,11837
"867","ALOX15B","13231.2900726236","11638.3384367143","8640.93428082433","6208.75091443429","8727.01877200157","5053.1851290537","6122.44176700555","2232.37343727542",6873.01976119714,11838
"17610","RP11-133K1.12","14211","13330","11856","3262","5771","3473","10905","3110",6873.09515543013,11839
"16949","RASGRP2","5330.68625876553","4829.61354380906","8740.43515392959","5874.4589584477","7694.84344918907","5840.50950413739","5075.46055120289","16522.9564233166",6873.47363651031,11840
"3604","CIDECP","4274.15347966219","4219.66432317563","6836.45544493682","8823.08906388821","8053.88497783336","9812.54931725315","7897.48023388054","7339.22732659428",6873.66288912071,11841
"3732","CLPP","4123.53296813855","3349.59428074416","9632.21870999167","6973.49585800877","8956.57821022082","7640.61840125097","6126.63282516798","12810.9091104922",6873.67310801107,11842
"6083","FAM24B","9451.26548012161","8824.32082668469","10356.5650502479","4638.99775992233","9605.08890942644","5166.3111286643","5372.90752790046","4664.80137715989",6873.72182604082,11843
"8990","KDM2B","6657.57618234811","5796.58874761494","8024.64924226226","5666.81886795853","7650.36068300688","7279.6637203285","6440.04208338011","7918.22362954142",6873.7774199115,11844
"23406","WDR27","5706.56066818766","5187.78521490918","9860.77994299308","7562.33632163136","7933.83893521604","7344.51046226726","6330.76913301896","6120.21873183315",6873.8360079577,11845
"13593","MROH8","14012.5367343927","12433.9487245494","9167.44631201113","3522.04017593652","9271.90182686131","4744.70396756805","6866.16764951673","2933.26914583839",6873.87448065203,11846
"7012","GLTSCR1","7913.3294194392","5781.71297546398","10216.627459941","4436.25536881423","6920.881314256","5601.74398189787","7776.863190035","7975.62646179595",6874.23261286857,11847
"23649","YBX1P4","12023","11902","7692","11223","5771","8995.99999999999","12752","610",6874.62022570488,11848
