"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"84","KMT2E",2,"gomez.vp rusch.rp",1,0,0,0,0,1,0,0,2
"85","RHBDD2",1,"obermoser3.vp",0,0,0,1,0,0,0,0,1
"86","SOX8",9,"gomez.vp obermoser3.vp obermoser4.vp larocca.vp gomez.rp gosch.rp obermoser3.rp obermoser4.rp larocca.rp",2,0,1,4,0,0,2,0,4
"87","IBTK",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"88","ZNF195",3,"meaburn1.vp obermoser4.vp meaburn1.rp",0,2,0,1,0,0,0,0,2
"89","MYCBP2",6,"obermoser4.vp larocca.vp karlovich2.vp obermoser4.rp larocca.rp karlovich2.rp",0,0,0,2,0,0,2,2,3
"90","FBXL3",2,"gosch.vp meaburn1.rp",0,1,1,0,0,0,0,0,2
"91","ITGAL",3,"obermoser2.vp karlovich2.vp karlovich2.rp",0,0,0,1,0,0,0,2,2
"92","PDK2",2,"gomez.vp obermoser1.rp",1,0,0,1,0,0,0,0,2
"93","ITGA3",1,"larocca.vp",0,0,0,0,0,0,1,0,1
"94","ZFX",3,"obermoser1.vp meaburn2.rp rusch.rp",0,1,0,1,0,1,0,0,3
"95","LAMP2",16,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp karlovich1.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp rusch.rp karlovich1.rp karlovich2.rp",0,5,1,6,0,1,0,3,5
"96","ITGA2B",16,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp karlovich1.rp karlovich2.rp",2,0,2,8,2,0,0,2,5
"97","GDE1",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp karlovich1.vp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp karlovich1.rp",1,1,2,8,1,2,1,2,8
"98","C19orf60",0,"",0,0,0,0,0,0,0,0,0
"99","OSBPL7",3,"obermoser2.vp karlovich2.vp karlovich2.rp",0,0,0,1,0,0,0,2,2
"100","MAP3K14",0,"",0,0,0,0,0,0,0,0,0
"101","AP2B1",8,"gomez.vp obermoser1.vp obermoser3.vp obermoser4.vp rusch.vp obermoser1.rp obermoser3.rp obermoser4.rp",1,0,0,6,0,1,0,0,3
"102","ZNF263",1,"obermoser4.vp",0,0,0,1,0,0,0,0,1
"103","SPATA20",16,"obermoser1.sd gomez.vp gosch.vp meaburn1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",2,3,1,8,0,0,2,0,5
"104","TNFRSF12A",1,"larocca.rp",0,0,0,0,0,0,1,0,1
"105","MAP3K9",0,"",0,0,0,0,0,0,0,0,0
"106","RALA",7,"obermoser2.vp rusch.vp karlovich2.vp obermoser1.rp rusch.rp karlovich1.rp karlovich2.rp",0,0,0,2,0,2,0,3,3
"107","BAIAP2L1",0,"",0,0,0,0,0,0,0,0,0
