"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"1234","APTX",34.38,20.71,68.64,25.85,61.02,30.21,25.16,68.15,38.25,38.25
"17319","RNASEH1.AS1",65.28,53.93,71.2,22.47,80.85,18.83,25.63,36.33,38.25,38.25
"4612","DAXX",6.42,8.26,52.3,49.52,84.65,56.53,32.89,86.6,38.26,38.26
"22294","TRAPPC1",2.5,9.93,19.8,73.23,61.71,76.05,51.88,95.86,38.26,38.26
"14443","NME9",63.33,57.49,70.15,20.98,35.84,44.2,53.48,15.91,38.26,38.26
"9951","LINC01176",75.11,64.72,75.56,19.36,57.98,17.46,34.17,31.79,38.27,38.27
"2228","C16orf91",24.25,12.43,71.21,23.65,89.51,55.05,40.92,52.49,38.27,38.27
"17112","RETSAT",19.03,25.78,38.5,54.59,20.95,49.95,36.1,55.15,38.28,38.28
"21872","TMEM194A",15.86,34.14,11.77,95.67,43.69,28.71,26.21,75.25,38.28,38.28
"19001","RSRC2",14.98,8.76,55,37.56,59.06,48.33,31.18,88.87,38.28,38.28
"20728","SPRYD4",27.49,17.08,71.33,42.66,56.32,43.81,32.08,47.88,38.29,38.29
"16745","R3HDM2",34.21,21.11,74.24,26.84,61.19,22.25,20.14,80.91,38.29,38.29
"4467","CXCL2",97.85,93.17,94.26,8.9,43.69,54.11,90.16,4.93,38.3,38.3
"14720","NUP133",12.53,7.39,57.76,48.21,53.22,49.04,38.31,81.51,38.3,38.3
"17905","RP11-351M16.4",86.87,85.8,49.66,20.7,10.95,24.13,82.69,13.87,38.3,38.3
"10556","LOC101927325",84.89,71.39,93.06,3.84,43.69,36.91,65.28,28.44,38.31,38.31
"5824","EXOC6B",53.86,39.56,79.18,21.3,16.02,36.58,35.38,38.77,38.31,38.31
"19328","SEC23IP",17.17,12.55,63.09,42.13,65.55,35.97,35.7,70.65,38.32,38.32
"4858","DHX29",17.88,9.88,69.71,37.49,66.19,39.51,32.57,76.24,38.32,38.32
"3825","CNTNAP1",66.98,61.84,46.45,30.71,77.53,24.21,24.66,29.97,38.33,38.33
"18649","RP5-1009E24.8",74.47,80.06,23.29,20.42,10.95,53.68,84.89,15.62,38.33,38.33
"20466","SNRNP40",8.23,11.35,39.05,57.85,25.86,55.66,36.57,88.09,38.33,38.33
"5550","EMC8",6.75,7.62,35.04,60.47,61.92,73.84,49.94,74.48,38.34,38.34
"23912","ZKSCAN4",17.97,11.52,72.61,49.64,77.49,32.02,23.9,72.76,38.34,38.34
"17525","RP1.167G20.1",97.41,93.71,83.3,11.4,43.69,76.41,95.22,2.61,38.35,38.35
"5181","DSEL",45.05,43.26,43.3,61.85,78.1,61.73,53.97,9.18,38.35,38.35
"12383","MBTPS2",56.93,42.5,63.53,33.94,78.21,26,30.64,28.35,38.35,38.35
"2329","C1orf52",13.05,8.95,63.87,51.38,52.1,35.65,31.76,86.44,38.36,38.36
"15735","PKIB",96.43,90.69,72.1,29.46,87.27,23.52,24.81,9.89,38.36,38.36
"15827","PLEKHG5",56.75,62.94,21.42,47.63,87.81,37.41,47.89,16.96,38.37,38.37
"4037","CRACR2A",33.82,21.57,62.97,36.6,68.66,27.27,28.16,57.75,38.37,38.37
"19157","SATB1-AS1",12.6,56.84,2.4,81.84,10.95,95.81,84.54,58,38.37,38.37
"428","ACSL5",4.28,12.87,19.36,78.07,22.92,79.94,54.78,77.31,38.38,38.38
"17201","RHOBTB2",34.87,21.62,82.05,29.52,58.41,34.68,31,48.13,38.38,38.38
"10212","LOC100129722",73.78,53.79,94.89,8.17,43.69,35.9,51.19,33.03,38.39,38.39
"2739","CATIP-AS1",10.73,16.47,39.91,76.09,75.95,68.86,37.13,43.91,38.39,38.39
"9850","LINC00689",65.96,47.07,54.43,29.32,29.23,46.73,48.39,18.54,38.39,38.39
"24184","ZNF490",21.92,11.78,87.74,35.36,15.42,52.96,42.22,57.77,38.4,38.4
"4762","DEFB4A",35.84,18.3,65.22,36.53,97.27,35.47,35.31,33.16,38.4,38.4
"3046","CD200R1",39.25,26,71.78,31.05,62.59,28.08,28.93,50.29,38.41,38.41
"21631","Tigger20a.TcMar.Tigger.DNA",28.97,36.06,20.49,61.66,1.82,57.99,53.85,60.5,38.41,38.41
"2336","C1orf86",2.98,4.17,40.52,66.85,43.69,90.84,68.39,76.26,38.41,38.41
"17320","RNASEH2A",43.88,36.35,66.68,30.83,51.96,24.03,22.55,53.62,38.42,38.42
"24312","ZNF629",71.24,62.14,76.89,26.96,71.83,22.18,29.45,21.46,38.42,38.42
"4868","DHX57",25.6,19.36,72.13,51.96,33.48,51.42,43.73,34.46,38.43,38.43
"202","AC008074.3",88.95,90.36,23.93,62.24,10.95,56.46,91.16,3.59,38.43,38.43
"9735","LINC00092",74.19,51.94,74.37,23.08,49.63,32.48,38.39,20.47,38.44,38.44
"4841","DHRS11",59.64,49.69,69.49,21.55,29.61,25.35,28.74,41.57,38.44,38.44
"20442","SNORD80",77.68,60.08,94.01,10.05,43.69,30.09,42.92,29.9,38.44,38.44
"5134","DPY19L4",72.41,54,83.28,26.71,74.43,21.93,24.57,24.77,38.45,38.45
"19229","SCIMP",9,28.64,6.06,93.52,6.28,76.27,54.89,83.05,38.45,38.45
"12458","MED11",38.55,37.44,59.55,20.67,70.54,24.55,19.24,73.59,38.46,38.46
"2288","C19orf84",89.98,89.56,29.91,55.32,1.82,52.69,90.55,6.63,38.46,38.46
"6367","FGF13",43.66,58.84,6.79,82.05,85.5,81.61,75.93,10.01,38.46,38.46
"12614","MER50C.ERV1.LTR",87.58,80.61,78.2,28.23,96.02,29.22,77.65,2.74,38.47,38.47
"20059","SLC9B2",50.41,34.72,85.77,32.82,80.84,22.3,17.77,43.4,38.47,38.47
"16938","RASA4B",19.27,51.88,3.98,83.77,6.28,86.54,78.67,46.92,38.48,38.48
"22090","TNFSF12.TNFSF13",9.48,24.97,5.45,94.22,1.82,93.51,69.79,84.44,38.48,38.48
"21165","SYVN1",19.17,21.92,54.98,44.85,19.76,31.6,25.31,80.78,38.48,38.48
"424","ACSF3",13.1,17.69,28.54,58.79,51.74,72.74,52.48,49.65,38.49,38.49
"11843","LTR16B.ERVL.LTR",26.35,57.8,1.6,96.72,1.82,96.64,89.86,60.86,38.49,38.49
"20981","STRA13",48.04,40.09,57.59,25.99,6.28,24.16,33.83,63.53,38.5,38.5
"12537","MER117.hAT.Charlie.DNA",5.25,6.04,51.22,67.43,96.1,59.73,26.86,79.46,38.5,38.5
"11802","LTO1",6.87,5.79,63.27,55.64,86.15,55.52,33.43,83.9,38.5,38.5
"4703","DDX11L10",71.15,95.16,0.3,97.41,20.62,94.61,92.25,55.71,38.51,38.51
"14405","NKRF",20.39,16.14,49.24,41.42,82.36,38.53,28.82,67.27,38.51,38.51
"6393","FHDC1",42.28,37.3,45.6,38.35,16.3,34.66,34.6,47.01,38.52,38.52
"17239","RIMKLA",96.2,95.63,21.84,30.58,43.69,65.35,91.72,3.59,38.52,38.52
"6733","GABRG3",60.18,79.31,23.79,91.11,18.68,77.59,79.33,2.56,38.52,38.52
"23326","VSIG8",48.25,51.22,43.77,46.5,63.11,40.29,47.22,17.49,38.53,38.53
"19297","SDHAP3",26.71,22.33,57,58.3,91.44,29.57,21.87,48.78,38.53,38.53
"15182","PARN",7.5,4.67,65.46,60.2,74.18,57.02,34.84,85.94,38.54,38.54
"4511","CYC1",4.43,8.76,28.14,67.44,72.81,62.88,38.47,96.05,38.54,38.54
"13978","MYOM3",32.36,30.57,57.79,49.64,20.72,47.43,39.62,34.16,38.55,38.55
"4310","CTD-2231E14.8",80.06,76.12,60.45,18.26,96.04,13.87,40.06,24.26,38.55,38.55
"3284","CELSR1",64.97,50.54,46.48,31.34,61.3,22.91,23.05,41.71,38.55,38.55
"24208","ZNF521",93.54,92.52,47.54,4.66,43.69,61.06,89.48,12.26,38.56,38.56
"3364","CERS3",24.39,29.62,12.51,80.88,28.55,80.39,55.48,33.01,38.56,38.56
"15030","OVOL1",6.44,4.88,83.57,73.4,99.82,69.94,30.24,36.74,38.57,38.57
"24469","ZNF850",65.64,53.84,77.86,33.98,37.84,32.71,34.54,17,38.57,38.57
"3626","CISD3",8.75,11.11,54.48,51.51,27.35,64.24,38.72,75.31,38.57,38.57
"11872","LTR2.ERV1.LTR",39.4,37.78,54.58,28.81,1.82,26.53,36.48,85.48,38.58,38.58
"14023","NACA",1.86,6.02,19.32,78.34,75.61,85.01,52.08,99.55,38.58,38.58
"15629","PIEZO2",89.96,74.4,72.5,30.35,93.65,13.07,16.22,28.16,38.59,38.59
"23455","WDR89",40.85,33.59,58.13,38.63,80.09,51.7,52.58,18.34,38.59,38.59
"4226","CTC-260E6.6",84.93,74.95,81.98,23.19,98.01,14.03,55.89,9.32,38.59,38.59
"5697","ERCC2",35.2,28.51,74.58,30.14,32.78,29.41,27.93,54.95,38.6,38.6
