"X","Symbol","P.Score","P.Studies","AdjP.Score","AdjP.Studies","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P.value.Studies","Adjusted.P.value.Studies"
6434,"PNOC",12,"gosch6 gosch9 gosch12 obermoser1PneumBaseVSseven obermoser1SalineBaseVSten obermoser2PNEUMBaseVSseven obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSseven obermoser3SalineBaseVSten obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVStwelve",3,"gosch6 gosch9 gosch12",0,0,3,9,0,0,0,2,1
6435,"ARHGAP32",16,"gosch9 gosch12 gosch15 obermoser1FluBaseVSten obermoser1FluBaseVSzero obermoser3FLUBaseVSseven obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSten obermoser3PNEUMBaseVSthree obermoser3PNEUMBaseVStwentyEight obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthirtySix obermoser4PNEUMBaselineVSthree obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree",2,"gosch9 gosch12",0,0,3,13,0,0,0,2,1
6436,"FKTN",16,"gosch9 gosch12 gosch15 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVSzero obermoser3SalineBaseVSseven obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4SalineBaselineVSfifteen rusch",3,"gosch9 gosch12 obermoser1PneumBaseVSseven",0,0,3,12,0,1,0,3,2
6440,"DCUN1D1",10,"meaburn2 gosch6 gosch9 gosch12 gosch15 obermoser1FluBaseVStwentyOne obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne dusek rusch",4,"gosch6 gosch9 gosch12 gosch15",0,1,4,3,1,1,0,5,1
6442,"LRP3",4,"gosch9 obermoser1PneumBaseVSfourteen obermoser4SalineBaselineVSone.5 rusch",0,"",0,0,1,2,0,1,0,3,0
6445,"ADD3",13,"meaburn2 gosch9 gosch12 obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser1SalineBaseVSfourteen obermoser1SalineBaseVSseven obermoser3FLUBaseVSone obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSfifteen rusch",3,"gosch9 gosch12 obermoser1PneumBaseVSseven",0,1,2,9,0,1,0,4,2
6446,"FAM210A",13,"meaburn2 gosch9 obermoser1FluBaseVSfourteen obermoser1FluBaseVSthree obermoser1PneumBaseVSseven obermoser2SalineBaseVSseven obermoser3FLUBaseVSten obermoser3SalineBaseVSpoint5 obermoser3SalineBaseVSseven obermoser3SalineBaseVSten obermoser4FLUBaselineVSthirtySix obermoser4SalineBaselineVSzero rusch",0,"",0,1,1,10,0,1,0,4,0
6448,"ZNF763",9,"meaburn2 gosch6 gosch9 obermoser1PneumBaseVSseven obermoser3PNEUMBaseVStwentyEight obermoser4FLUBaselineVSthree obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSone.5 rusch",1,"gosch9",0,1,2,5,0,1,0,4,1
6450,"DHRS9",26,"gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1FluBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser2PNEUMBaseVSseven obermoser3FLUBaseVSone obermoser3PNEUMBaseVSten obermoser3SalineBaseVSone obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSnine obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthirtySix obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree rusch",5,"gosch9 gosch12 gosch15 obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen",0,0,5,20,0,1,0,3,2
6451,"LTA",10,"gosch6 gosch9 gosch12 gosch15 gosch21 obermoser3PNEUMBaseVSseven obermoser3SalineBaseVSten obermoser3SalineBaseVStwentyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5",4,"gosch6 gosch9 gosch12 obermoser4SalineBaselineVSone.5",0,0,5,5,0,0,0,2,2
6457,"NPTXR",9,"gosch6 gosch9 gosch12 obermoser1FluBaseVSfourteen obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVStwentyFour obermoser4SalineBaselineVSfifteen rusch",2,"gosch6 gosch9",0,0,3,5,0,1,0,3,1
6459,"RBL1",13,"gosch6 gosch15 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVStwentyEight obermoser1SalineBaseVSone obermoser1SalineBaseVSthree obermoser1SalineBaseVStwentyEight obermoser2FLUBaseVSseven obermoser2PNEUMBaseVSseven obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSsix rusch",0,"",0,0,2,10,0,1,0,3,0
6460,"NME8",14,"meaburn2 gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSone obermoser2FLUBaseVSseven obermoser3PNEUMBaseVStwentyEight obermoser3SalineBaseVSthree obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree rusch",6,"gosch6 gosch9 gosch12 gosch15 obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree",0,1,5,7,0,1,0,4,2
6463,"CDKN2B",15,"gosch6 gosch9 gosch12 obermoser1PneumBaseVSzero obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVStwentyFour obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix",2,"gosch6 gosch9",0,0,3,12,0,0,0,2,1
6466,"SLC29A2",18,"meaburn1 gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1SalineBaseVSone obermoser2PNEUMBaseVSseven obermoser3FLUBaseVStwentyEight obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSsix obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero rusch",5,"gosch6 gosch9 gosch12 gosch15 gosch18",0,1,5,11,0,1,0,4,1
6467,"DNA2",19,"gosch6 gosch9 gosch12 gosch15 gosch18 gosch21 obermoser1SalineBaseVSthree obermoser1SalineBaseVStwentyEight obermoser1SalineBaseVStwentyOne obermoser1SalineBaseVSzero obermoser3FLUBaseVSseven obermoser3FLUBaseVStwentyEight obermoser3PNEUMBaseVSone obermoser3PNEUMBaseVSzero obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSsix obermoser4FLUBaselineVStwelve",7,"gosch6 gosch9 gosch12 gosch15 gosch18 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVStwelve",0,0,6,13,0,0,0,2,2
6468,"TMEM237",10,"gosch12 obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSfifteen",2,"gosch12 obermoser4FLUBaselineVSfifteen",0,0,1,9,0,0,0,2,2
