"","Within Variation (SD)","Total Variation (SD)","Rs","Average Expression","subject","response","time:response","time","Residuals","repeatability","gen.variance","res.variance","Symbol"
"MER57A1.ERV1.LTR",0.384087306971868,0.499271432005109,0.769295582223375,2.44108281305436,0,0,4.05678536078798e-19,0,1,0,0,0.256375255390516,"MER57A1.ERV1.LTR"
"MER57B1.ERV1.LTR",0.333461528800338,0.516916407628399,0.64509759001509,2.27455418077629,0.0424660501701449,0.125825081459429,6.10451998074673e-10,7.79803576187753e-09,0.831708859961938,0.0486004422121625,0.0113594565340867,0.22237209027978,"MER57B1.ERV1.LTR"
"MER57B2.ERV1.LTR",0.2403742303849,0.320753544874187,0.749404750863112,2.24193513556344,0.0698909486828768,0,5.59280533877184e-09,2.71094346180748e-06,0.930106334780856,0.145653179695036,0.0150978550239898,0.0885583442817938,"MER57B2.ERV1.LTR"
"MER57C1.ERV1.LTR",0.379043354476744,0.645154881303254,0.587523035881016,0.318490841632057,0.130500319623732,3.79771010397011e-09,0.0442284664344506,2.43086254998144e-11,0.825271210119799,0.118946840259362,0.0469919661598256,0.348074990283576,"MER57C1.ERV1.LTR"
"MER57C2.ERV1.LTR",0.308705712249052,0.555827046240085,0.555398867934378,0.722629331410566,0.505763201661581,0,0.00461919073995536,0,0.489617607598464,0.508878988947268,0.162932709455888,0.15724696585936,"MER57C2.ERV1.LTR"
"MER57D.ERV1.LTR",0.377399856798908,0.419581098368561,0.89946820356383,0.714345753889778,0,0,0.00999091651050015,0,0.9900090834895,0,0,0.225638407240086,"MER57D.ERV1.LTR"
"MER57E1.ERV1.LTR",0.511087352851993,0.52605487138195,0.971547609680646,0.395285192669846,0,0,0,0,1,0,0,0.42366352589866,"MER57E1.ERV1.LTR"
"MER57E2.ERV1.LTR",0.830146429477283,1.12094649031135,0.740576322467188,-1.62328277207454,0,1.92121484226281e-14,0.0107543174130775,0,0.989245682586903,0,0,1.40188319344213,"MER57E2.ERV1.LTR"
"MER57E3.ERV1.LTR",0.306402585282887,0.452290928427441,0.677445789921568,1.51178333350024,0.195800415489609,0,3.11568629175276e-10,5.88272494226502e-11,0.804199584139995,0.206026884391849,0.0420828321022904,0.162176103456099,"MER57E3.ERV1.LTR"
"MER57F.ERV1.LTR",0.214295204536869,0.424983997975159,0.504242996343112,3.94801507485845,0.602939506144896,0.0362103518344705,8.45342120408028e-09,0.0195060382991354,0.341344095268077,0.644429048780938,0.11104701075903,0.0612714329379089,"MER57F.ERV1.LTR"
"MER58A.hAT.Charlie.DNA",0.146765622276594,0.239761749688472,0.612131094585729,6.40822861897598,0.258017998336295,0.1034544464855,6.78500466191583e-08,7.86993662295167e-08,0.638527408628793,0.273896544400452,0.0139752597059372,0.0370486031052147,"MER58A.hAT.Charlie.DNA"
"MER58B.hAT.Charlie.DNA",0.173640603024908,0.260612301031611,0.666279382583119,5.61217523464992,0.24863526320249,0,6.05961897966504e-10,3.7484926871803e-11,0.751364736154064,0.274108767370718,0.0190099345829154,0.0503418587408109,"MER58B.hAT.Charlie.DNA"
"MER58C.hAT.Charlie.DNA",0.206959527283561,0.321831590968269,0.643067781695697,4.17216504147955,0.24113449111795,0.0943502192088388,1.26192385904998e-09,1.30937659777806e-09,0.66451528710191,0.248660090462757,0.0231013916531996,0.0698021040795006,"MER58C.hAT.Charlie.DNA"
"MER58D.hAT.Charlie.DNA",0.21158715406972,0.287352367582052,0.736333428710318,2.38409939985942,0,0,0,0,1,0.00713321593614462,0.00059537501425808,0.0828697856633072,"MER58D.hAT.Charlie.DNA"
