"","Symbol","Obermoser_F_pvalue","Gosch_F_pvalue"
"1087","RPL29",0.0906201472623264,2.8573135870705e-07
"1088","RPL29",0.869015050443398,2.8573135870705e-07
"1089","RPL3",0.0853185098692838,8.12960703995367e-09
"1090","RPL3",0.0685899891367193,8.12960703995367e-09
"1091","RPL3",0.0158411025217117,8.12960703995367e-09
"1092","RPL35",0.026159092297753,0.00319841523942136
"1093","RPL35",0.0210883914933452,0.00319841523942136
"1094","RPL35",0.449176777708229,0.00319841523942136
"1095","RPL35",0.0221879207765096,0.00319841523942136
"1096","RPL36",0.0919273982615311,0.000206516333970408
"1097","RPL36",0.00761974225074269,0.000206516333970408
"1098","RPL36",0.909895435884162,0.000206516333970408
"1099","RPL4",0.0663737181124455,0.000492834149961532
"1100","RPL4",0.0282838151638099,0.000492834149961532
"1101","RPL5",0.0443666774566939,0.000715926637219957
"1102","RPL7",0.156528144122564,0.000772066116879662
"1103","RPL7",0.884951712796883,0.000772066116879662
"1104","RPL7",0.00325448403785004,0.000772066116879662
"1105","RPL7",0.347409380963893,0.000772066116879662
"1106","RPLP0",0.182285019251216,0.000245613262845514
"1107","RPLP0",0.836644031407119,0.000245613262845514
"1108","RPLP0",0.00589024611733266,0.000245613262845514
"1109","RPLP2",0.787020638764186,0.000212470436753648
"1110","RPLP2",0.0271730831321273,0.000212470436753648
"1111","RPRD2",0.0196094750684168,0.00010271660741594
"1112","RPS16",0.200819428409302,0.000187484557489541
"1113","RPS16",0.0234198717816022,0.000187484557489541
"1114","RPS2",0.0585605331684339,0.00447169083427277
"1115","RPS2",0.321265414713671,0.00447169083427277
"1116","RPS2",0.715290821088511,0.00447169083427277
"1117","RPS2",0.019587912169637,0.00447169083427277
"1118","RPS2",0.30936690704334,0.00447169083427277
"1119","RPS2",0.233138095822166,0.00447169083427277
"1120","RPS2",0.205809850039357,0.00447169083427277
"1121","RPS2",0.352041114614443,0.00447169083427277
"1122","RPS23",0.0464967815745003,6.37096113865591e-12
"1123","RPS23",0.127974784069411,6.37096113865591e-12
"1124","RPS23",0.2626599785322,6.37096113865591e-12
"1125","RPS6KA5",0.0154466678680199,5.5851655012802e-07
"1126","RPS6KC1",0.614290730959256,0.00112583842193763
"1127","RPS6KC1",0.0316526109127552,0.00112583842193763
"1128","RPSA",0.0238649644611296,2.30007301485178e-06
"1129","RPSA",0.107463602912198,2.30007301485178e-06
"1130","RPSA",0.165872441539594,2.30007301485178e-06
"1131","RPSA",0.0399479814861915,2.30007301485178e-06
"1132","RPSA",0.00550800352700195,2.30007301485178e-06
"1133","RPSA",0.0431342144913935,2.30007301485178e-06
"1134","RPSA",0.880818221368926,2.30007301485178e-06
"1135","RPSA",0.0312516405333673,2.30007301485178e-06
"1136","RSPH3",0.0486416606740488,0.00917056055407944
"1137","RTN3",0.269046369357326,1.06372153804583e-09
"1138","RTN3",0.00931897603964786,1.06372153804583e-09
"1139","RTN3",0.0115151344768596,1.06372153804583e-09
"1140","RTN3",0.0170935172765708,1.06372153804583e-09
"1141","S100A10",0.109314969595791,0.00299126748441676
"1142","S100A10",0.0135973112881503,0.00299126748441676
"1143","S100A11",0.0368820824664514,4.21490673663649e-05
"1144","S100A12",0.0271334882093505,3.43352925606149e-05
"1145","S100A9",0.00177159206233052,0.000607928808369813
"1146","S100P",0.0165014060975649,5.21495308567188e-05
"1147","SAP30",0.00347804555419815,7.05930668563574e-05
"1148","SAT1",0.0335284546638902,4.91798478645444e-08
"1149","SBDS",0.464362803489299,0.0156189223281563
"1150","SBDS",0.00536576814773991,0.0156189223281563
"1151","SCLT1",0.00646875584605537,5.4471085522758e-14
"1152","SCMH1",0.127368791885766,0.0226417575613366
"1153","SCMH1",0.00514095244317037,0.0226417575613366
"1154","SCML1",0.811088520995613,3.86277348437305e-07
"1155","SCML1",0.00744799719020935,3.86277348437305e-07
"1156","SEH1L",0.0173394649959063,2.93536417007392e-07
"1157","SEH1L",0.0331205219832609,2.93536417007392e-07
"1158","SEH1L",0.722671144449214,2.93536417007392e-07
"1159","SELENBP1",0.029282290973104,0.0006716629377234
"1160","SEMA4B",0.0316839235788973,6.86223210245874e-07
"1161","SEMA4D",8.26276429782336e-07,1.27045562473034e-11
"1162","SEMA4D",0.106879828581531,1.27045562473034e-11
"1163","SENP2",0.726095775836504,4.50394324455046e-06
"1164","SENP2",0.0410288081367491,4.50394324455046e-06
"1165","SERPINA1",0.255184507035116,9.8044519377935e-07
"1166","SERPINA1",0.252166692267237,9.8044519377935e-07
"1167","SERPINA1",0.0242433260834706,9.8044519377935e-07
"1168","SERPINA1",0.0587395286483802,9.8044519377935e-07
"1169","SESN1",0.00499577971365481,2.40163063508734e-05
"1170","SESN3",8.09286076456818e-05,0.000292651447429327
"1171","SGSM2",0.0425717616914701,0.000117818587952486
