"","ThreeHrMain","SixHrMain","NineHrMain","TwelveHrMain","FifteenHrMain","EighteenHrMain","TwentyoneHrMain","AveExpr","F","P.Value","adj.P.Val"
"TMEM171",0.690274104629738,-0.0592319375723367,0.343502942062416,-0.0521439955467207,0.168179574282712,0.798731873470204,0.391859284650879,-2.20105874187573,1.48768770963514,0.186199551567217,0.265358647881314
"LOC100996273",0.145713213761001,0.136207366310068,-0.0560720279626803,-0.0303104365877922,0.0380937093908138,0.129669188247092,-0.00569020671321874,3.058714178861,1.48751633720514,0.186260042713939,0.265407575080006
"C1QC",-0.0719723964951487,0.559351277038831,0.855442960777013,0.0553016480768592,0.721028890568039,0.341896540984699,0.503583761718527,-1.20097841627193,1.48749869287617,0.186266271802442,0.265407575080006
"LINC00853",0.0613127531315167,0.357920595070005,0.473530794370573,0.321148291287107,0.464592368593152,0.261203984120856,0.437824282810613,-0.204057403059515,1.48736299746108,0.186314183338242,0.265452764559719
"LOC100507670",-0.344133181003267,-0.133749431295361,-0.118892873011518,-0.129396262100547,0.20459303426267,0.0383944550866949,-0.00323767348492521,-0.298219710126219,1.48707256688864,0.186416765453004,0.265575831798443
"THYN1",-0.0560240786778192,-0.0450159584743817,-0.122337027573034,-0.112287246058151,-0.0311523271725556,-0.092820698198415,-0.0206616307765215,3.65401657948467,1.4866460104276,0.186567518323586,0.265767497418971
"PEX2",0.0591744284869451,0.0195394733892824,0.0240366514313437,-0.022375771780268,0.0222855081623576,-0.0314936249297038,0.0433555231994185,4.87837975701496,1.48648803434777,0.186623377190169,0.265786326083174
"NFYC.AS1",-0.000632916929744765,-0.0572616338984311,-0.089711630553293,-0.0892779527799326,-0.00584923459349485,-0.0476237863755669,-0.154551839434938,3.00172334790903,1.48644244883135,0.186639498539572,0.265786326083174
"UACA",0.0831191708548494,0.240235389690732,0.208610781794865,-0.00326780229781876,0.0230587069669498,-0.0129839074900617,0.122652570041991,1.17058144743807,1.48640608236798,0.186652360443455,0.265786326083174
"EBPL",-0.0882570459297476,-0.180974858971056,-0.0124027476871658,-0.0903648634891889,-0.104923476510482,-0.0989524349577957,0.0323854077641816,2.52532705034408,1.48638047024921,0.186661419274189,0.265786326083174
"SCYL3",-0.010819956144728,0.0580308610660687,0.0385146963714091,-0.0626399669086757,-0.00444936530906181,0.0325908915874766,-0.00980546027470997,4.44888846801322,1.48637932949473,0.186661822760225,0.265786326083174
"FAM175B",0.0823993127900451,-0.0379292824524593,-0.0398066689356953,0.00042547753947364,0.0147576802905589,-0.00686855622133908,0.00572397486411003,4.50403311512377,1.48620255854957,0.186724356102531,0.265852269321899
"PPP1R32",-0.112012985024868,-0.0111357887249344,-0.163950160036167,-0.0634071687843525,-0.16219290521586,-0.0997443570505343,-0.150168393263046,2.37817402438741,1.48579040326752,0.186870229094001,0.266036847170047
"SURF6",0.000525133118236987,-0.0398373399992651,-0.0502545793232363,-0.139524458565091,-0.0467905349651092,-0.0347602634361963,-0.111120779843331,4.26424956036082,1.48558174166538,0.186944118355027,0.26611892258495
"CDC26",-0.00501130852906617,0.0329204593762915,0.13089055041514,0.0744423896189927,0.021958192534161,0.111840577172359,0.140387477240375,2.47418277095167,1.48550435122352,0.186971529657101,0.266134827127865
"LOC100133182",-0.018572947879016,0.220121293284487,0.322778188609851,0.322715955584318,0.184211051995653,0.127491452012516,0.0725261620731974,4.91086319375622,1.48529309368799,0.187046374009892,0.266218239135746
"NADSYN1",-0.0378656915505533,0.0110079159996821,0.0272068155818856,0.0395282496364815,0.0227448238308101,0.0268399545192293,-0.0110993598750131,6.30331254829028,1.48514767208866,0.187097909314501,0.266268464376116
"ESPNP",-0.296165576217152,-0.58388041584712,-0.658470595291645,-0.195653153267696,-0.599460906177966,0.0257777700958655,-0.00665248844328836,-1.54649727443502,1.48508752637745,0.187119227733642,0.266275681455818
"CCSER1",-0.143010428169786,0.0817035565702015,-0.0820666967508229,-0.0907528211770038,-0.0625188419659202,-0.0448731357833416,0.182340332610933,1.22202920035505,1.48460078173441,0.187291831170922,0.266498161231138
"CCDC144A",-0.208964625917842,0.151109113895025,0.074401791857309,-0.53568229645083,0.209565463564716,-0.105054923980676,0.0137733912224411,1.02315419098038,1.48423402070594,0.187421980000578,0.266660198821901
"LOC101929243",0.3790722774477,0.0659988320545499,0.423731313810896,0.283527555990129,0.159038313596216,0.383884266868735,0.368885474558646,-0.518452767545779,1.48408429486735,0.187475134580084,0.266705084439208
"DERL2",0.0307957267772769,0.000641583635365262,0.0809858665307868,0.0385847813721392,0.0491367033452281,0.0701452060607259,0.100165706315742,4.38701767393992,1.4840534834419,0.187486074673507,0.266705084439208
"KRBA2",-0.00480505622535921,-0.0592159776803565,-0.056993221899754,-0.148307630193624,-0.0737838940645434,-0.0994675426571965,-0.119041564648859,3.01850129938076,1.4839758174673,0.187513653721836,0.266721165669777
"IFI27L1",0.27612801590449,-0.0571549897101862,0.183247504007556,-0.17859302923587,0.153071332989756,-0.0220997211335624,-0.0587837652381687,0.0319958234697096,1.48367795108932,0.187619458626308,0.266848503638511
"SMARCA2",0.0254947968057673,0.0717536924342697,0.0242679313567384,0.0114758426328403,0.0216301132405108,0.0494569358182608,0.00192900726909384,7.19023466994009,1.48316389287152,0.187802180383039,0.267085207766194
"CTD.2201I18.1",0.231115856781508,0.154819124364643,0.021069904132583,-0.10641966128812,0.0529969776090777,0.178989502865533,0.0226510789880131,1.53386257022632,1.48294178488746,0.187881176965448,0.267147676931877
"MIR1200",-0.116841968974544,-0.0790416562657427,-0.21171058442215,-0.208572393358258,0.0704355560329714,0.0384757073898268,-0.673562362988405,-0.912198482333565,1.48291572875399,0.187890446198933,0.267147676931877
"RACGAP1",-0.0251464738196299,0.011429797493558,0.060724706126529,0.0506226532342975,0.133642694550273,0.162611728210285,0.0725343319044627,3.20560640621096,1.48290290821108,0.187895007138553,0.267147676931877
"SLC16A1",0.0928712436216803,-0.0727962851004396,0.00496053188346357,-0.0194347722088666,-0.0212658822381522,0.0169004003403797,0.0509878139426436,3.79994693374234,1.48278188478314,0.187938066317421,0.267185719021184
"TNFRSF17",0.149040205510414,-0.46323440461179,-0.205785914239977,-0.442347300600494,-0.183737290181327,0.0168614759298705,-0.0104830012940762,0.669837009617588,1.48249449082014,0.188040353584798,0.267307949943729
